,age,father,mother
306,0,Valid Skip,Don't Know
307,0,Non Interview,Non Interview
308,0,Valid Skip,No
309,0,Non Interview,Non Interview
310,0,Non Interview,Non Interview
311,0,Non Interview,Non Interview
312,0,No,No
313,0,Non Interview,Non Interview
314,0,No,No
315,0,Non Interview,Non Interview
316,0,Non Interview,Non Interview
317,0,Non Interview,Non Interview
318,0,Non Interview,Non Interview
319,0,Non Interview,Non Interview
320,0,No,No
321,0,No,No
322,0,Don't Know,No
323,0,Non Interview,Non Interview
324,0,No,No
325,0,No,No
326,0,No,No
327,0,Non Interview,Non Interview
328,0,Non Interview,Non Interview
329,0,Non Interview,Non Interview
330,0,No,No
331,0,No,No
332,0,No,No
333,0,No,No
334,0,No,No
335,0,No,No
336,0,No,No
337,0,No,No
338,0,No,No
339,0,No,No
340,0,No,No
341,0,No,No
342,23,No,No
343,0,No,No
344,24,No,No
345,0,No,No
346,0,Non Interview,Non Interview
347,0,Non Interview,Non Interview
348,19,Non Interview,Non Interview
349,0,No,No
350,0,No,No
351,0,Non Interview,Non Interview
352,0,Non Interview,Non Interview
353,0,No,No
354,0,No,No
355,0,No,No
356,0,No,No
357,0,No,No
358,0,No,No
359,0,No,No
360,0,Non Interview,Non Interview
361,0,No,No
362,0,No,No
363,0,Non Interview,Non Interview
364,0,No,No
365,0,No,No
366,0,No,No
367,0,No,No
368,0,Non Interview,Non Interview
369,15,No,Yes
370,0,Don't Know,Don't Know
371,0,No,No
372,0,No,No
373,0,Non Interview,Non Interview
374,23,Non Interview,Non Interview
375,0,No,No
376,0,No,No
377,0,No,No
378,0,Non Interview,Non Interview
379,0,Non Interview,Non Interview
380,0,Non Interview,Non Interview
381,0,No,No
382,0,Non Interview,Non Interview
383,0,Non Interview,Non Interview
384,24,No,No
385,0,Yes,No
386,0,No,No
387,0,Non Interview,Non Interview
388,0,Non Interview,Non Interview
389,0,Yes,No
390,0,No,No
391,0,No,No
392,0,No,No
393,0,No,No
394,0,No,No
395,0,No,No
396,0,No,Don't Know
397,0,Don't Know,No
398,0,Non Interview,Non Interview
399,0,Non Interview,Non Interview
400,0,No,No
401,0,Yes,No
402,0,Yes,No
403,0,No,No
404,0,Non Interview,Non Interview
405,0,Non Interview,Non Interview
406,0,No,No
407,0,No,No
408,0,No,No
409,31,Don't Know,No
410,0,No,No
411,0,No,No
412,0,Valid Skip,No
413,20,Refused,No
414,0,No,No
415,0,No,No
416,0,Non Interview,Non Interview
417,0,Non Interview,Non Interview
418,0,No,No
419,0,No,No
420,0,Non Interview,Non Interview
421,0,No,No
422,0,No,No
423,0,No,No
424,0,No,No
425,0,No,No
426,0,No,No
427,0,Non Interview,Non Interview
428,0,No,No
429,0,Non Interview,Non Interview
430,0,Non Interview,Non Interview
431,23,No,No
432,0,No,No
433,0,No,No
434,0,No,No
435,0,No,No
436,0,No,No
437,0,No,No
438,0,No,No
439,26,No,No
440,0,No,No
441,0,No,No
442,0,No,No
443,0,No,No
444,0,No,No
445,16,No,No
446,0,No,No
447,0,No,No
448,0,Non Interview,Non Interview
449,0,No,No
450,0,No,No
451,0,Valid Skip,No
452,0,Valid Skip,No
453,0,No,No
454,28,Non Interview,Non Interview
455,0,No,No
456,0,No,No
457,0,No,No
458,0,No,No
459,0,No,No
460,0,No,No
461,0,Don't Know,No
462,26,No,No
463,0,No,No
464,0,No,No
465,23,Valid Skip,No
466,0,No,No
467,0,No,No
468,0,No,No
469,0,No,No
470,0,No,No
471,0,No,No
472,0,No,No
473,0,No,No
474,0,No,No
475,0,No,No
476,0,No,No
477,0,No,No
478,0,No,No
479,0,Valid Skip,No
480,0,No,No
481,0,Yes,Yes
482,0,No,No
483,0,No,No
484,0,No,No
485,0,Non Interview,Non Interview
486,0,No,No
487,0,No,No
488,0,Non Interview,Non Interview
489,0,No,No
490,0,Non Interview,Non Interview
491,0,No,No
492,0,No,No
493,0,Non Interview,Non Interview
494,0,Non Interview,Non Interview
495,0,No,No
496,0,Non Interview,Non Interview
497,0,No,No
498,0,Non Interview,Non Interview
499,0,Non Interview,Non Interview
500,0,Non Interview,Non Interview
501,0,Non Interview,Non Interview
502,0,No,No
503,30,Non Interview,Non Interview
504,26,Non Interview,Non Interview
505,0,Non Interview,Non Interview
506,0,No,No
507,29,No,No
508,0,Don't Know,No
509,24,Non Interview,Non Interview
510,0,No,No
511,0,No,No
512,20,No,No
513,0,Non Interview,Non Interview
514,0,No,No
515,0,No,No
516,0,No,No
517,0,No,No
518,0,No,No
519,0,No,No
520,0,No,No
521,0,No,No
522,22,No,No
523,29,No,No
524,0,No,No
525,23,No,No
526,0,No,No
527,0,No,No
528,0,Yes,No
529,0,No,No
530,0,Non Interview,Non Interview
531,0,Non Interview,Non Interview
532,0,Non Interview,Non Interview
533,0,No,No
534,0,No,No
535,0,No,No
536,0,No,No
537,0,No,No
538,0,Non Interview,Non Interview
539,0,No,No
540,0,Non Interview,Non Interview
541,0,No,No
542,0,Yes,No
543,0,No,No
544,0,Non Interview,Non Interview
545,0,Non Interview,Non Interview
546,0,No,No
547,0,No,No
548,0,No,No
549,0,Non Interview,Non Interview
550,0,No,No
551,0,Non Interview,Non Interview
552,0,Non Interview,Non Interview
553,25,Non Interview,Non Interview
554,0,No,No
555,0,No,No
556,0,No,No
557,0,No,No
558,0,Non Interview,Non Interview
559,0,No,No
560,0,No,No
561,0,Non Interview,Non Interview
562,0,No,No
563,0,No,No
564,0,No,No
565,0,No,No
566,0,Non Interview,Non Interview
567,0,No,No
568,0,Non Interview,Non Interview
569,0,Non Interview,Non Interview
570,0,No,No
571,0,Non Interview,Non Interview
572,0,No,No
573,0,No,No
574,0,Non Interview,Non Interview
575,0,No,No
576,0,No,No
577,0,No,No
578,0,Yes,No
579,0,Yes,No
580,0,No,No
581,0,No,No
582,0,No,No
583,0,No,No
584,0,No,No
585,27,No,No
586,0,No,No
587,0,Non Interview,Non Interview
588,18,Yes,No
589,0,No,No
590,0,Yes,No
591,0,Yes,No
592,0,Non Interview,Non Interview
593,26,No,No
594,0,No,Yes
595,0,Non Interview,Non Interview
596,0,No,No
597,0,No,No
598,0,No,No
599,0,No,No
600,0,No,No
601,0,No,No
602,0,No,No
603,0,No,No
604,0,Valid Skip,No
605,21,Yes,No
606,19,Non Interview,Non Interview
607,0,No,No
608,0,No,No
609,24,No,No
610,0,No,No
611,0,No,No
612,0,No,No
613,0,No,No
614,0,Non Interview,Non Interview
615,0,Non Interview,Non Interview
616,0,Don't Know,No
617,0,No,No
618,0,No,No
619,0,Non Interview,Non Interview
620,0,No,No
621,0,No,No
622,0,Non Interview,Non Interview
623,0,No,No
624,0,No,No
625,0,No,No
626,0,Valid Skip,No
627,0,No,No
628,0,Non Interview,Non Interview
629,0,No,No
630,0,Non Interview,Non Interview
631,0,No,No
632,0,No,No
633,0,No,No
634,0,No,No
635,0,No,No
636,0,No,No
637,0,No,No
638,0,No,No
639,0,No,No
640,0,No,No
641,0,No,No
642,0,No,No
643,0,Non Interview,Non Interview
644,0,Non Interview,Non Interview
645,0,Non Interview,Non Interview
646,0,No,No
647,0,No,No
648,0,No,No
649,0,No,No
650,0,Non Interview,Non Interview
651,0,No,No
652,0,No,No
653,0,No,No
654,0,Yes,No
655,0,No,No
656,0,Non Interview,Non Interview
657,0,No,No
658,0,Non Interview,Non Interview
659,0,No,No
660,21,No,No
661,16,No,No
662,0,Yes,No
663,0,No,No
664,0,No,No
665,0,No,No
666,0,No,No
667,0,No,No
668,0,No,No
669,0,No,No
670,0,Non Interview,Non Interview
671,0,No,No
672,0,No,No
673,0,No,No
674,22,Non Interview,Non Interview
675,0,No,No
676,0,Yes,No
677,0,Non Interview,Non Interview
678,0,No,No
679,21,Don't Know,No
680,0,Non Interview,Non Interview
681,0,Non Interview,Non Interview
682,0,No,No
683,0,No,No
684,0,Don't Know,Don't Know
685,0,Don't Know,Yes
686,0,No,No
687,0,Non Interview,Non Interview
688,0,No,No
689,0,No,No
690,0,No,No
691,0,No,No
692,0,No,No
693,0,No,No
694,0,Non Interview,Non Interview
695,0,Non Interview,Non Interview
696,0,Non Interview,Non Interview
697,0,Refused,Refused
698,0,No,No
699,0,Yes,No
700,13,Valid Skip,No
701,0,No,No
702,0,No,No
703,0,Non Interview,Non Interview
704,0,No,No
705,0,No,No
706,0,Valid Skip,No
707,0,Non Interview,Non Interview
708,0,Valid Skip,No
709,0,Non Interview,Non Interview
710,0,Non Interview,Non Interview
711,0,Yes,No
712,0,Valid Skip,No
713,0,Non Interview,Non Interview
714,0,No,No
715,0,Non Interview,Non Interview
716,0,No,No
717,0,No,No
718,0,Yes,No
719,0,No,No
720,0,No,No
721,0,No,No
722,0,No,No
723,0,Non Interview,Non Interview
724,0,No,No
725,0,No,No
726,0,No,No
727,0,No,No
728,0,No,No
729,0,No,No
730,0,No,No
731,0,No,No
732,0,Non Interview,Non Interview
733,0,No,No
734,0,No,No
735,0,Non Interview,Non Interview
736,0,No,No
737,0,No,No
738,0,Yes,No
739,0,No,No
740,0,No,No
741,0,No,No
742,0,Non Interview,Non Interview
743,0,Non Interview,Non Interview
744,0,No,No
745,0,No,No
746,0,Non Interview,Non Interview
747,0,No,No
748,0,No,No
749,0,No,No
750,0,Yes,Yes
751,0,Don't Know,No
752,0,No,No
753,0,No,No
754,0,No,No
755,0,Non Interview,Non Interview
756,0,No,No
757,0,Non Interview,Non Interview
758,0,Non Interview,Non Interview
759,0,Non Interview,Non Interview
760,0,Non Interview,Non Interview
761,0,No,No
762,0,No,No
763,0,No,No
764,0,No,No
765,0,Non Interview,Non Interview
766,0,Non Interview,Non Interview
767,0,No,No
768,0,No,No
769,0,Non Interview,Non Interview
770,0,No,No
771,0,Non Interview,Non Interview
772,0,No,No
773,0,Valid Skip,No
774,0,No,No
775,0,Non Interview,Non Interview
776,0,No,No
777,19,Valid Skip,No
778,0,Non Interview,Non Interview
779,0,Non Interview,Non Interview
780,0,No,No
781,0,No,No
782,0,Non Interview,Non Interview
783,0,No,No
784,0,Non Interview,Non Interview
785,0,Non Interview,Non Interview
786,0,Non Interview,Non Interview
787,0,No,No
788,24,No,No
789,0,No,No
790,0,No,No
791,0,No,No
792,0,No,No
793,0,Non Interview,Non Interview
794,0,No,No
795,0,No,No
796,0,No,No
797,0,No,No
798,0,No,No
799,0,No,No
800,0,Non Interview,Non Interview
801,0,No,No
802,0,Non Interview,Non Interview
803,0,No,No
804,0,No,No
805,0,No,No
806,18,No,No
807,0,Non Interview,Non Interview
808,0,Non Interview,Non Interview
809,0,Non Interview,Non Interview
810,0,No,No
811,0,No,No
812,0,No,No
813,0,Non Interview,Non Interview
814,0,No,No
815,22,Valid Skip,No
816,0,No,No
817,0,No,No
818,0,No,No
819,0,No,No
820,0,No,No
821,0,No,No
822,0,No,No
823,0,No,No
824,0,Yes,No
825,0,No,No
826,0,No,No
827,0,Non Interview,Non Interview
828,0,No,No
829,0,No,No
830,0,Non Interview,Non Interview
831,0,No,No
832,0,Non Interview,Non Interview
833,0,No,No
834,0,No,No
835,0,No,No
836,0,No,No
837,0,No,No
838,0,No,No
839,0,No,No
840,0,No,No
841,0,No,No
842,0,No,No
843,0,Non Interview,Non Interview
844,0,No,No
845,0,No,No
846,0,No,No
847,0,No,No
848,0,No,No
849,0,Yes,No
850,0,No,No
851,0,No,No
852,0,Non Interview,Non Interview
853,0,No,No
854,0,Valid Skip,No
855,0,No,No
856,0,No,No
857,0,No,No
858,0,No,No
859,0,No,No
860,0,No,No
861,27,No,No
862,0,Don't Know,No
863,0,Non Interview,Non Interview
864,0,Valid Skip,No
865,0,Valid Skip,Don't Know
866,0,No,No
867,0,Non Interview,Non Interview
868,22,No,No
869,24,Yes,No
870,0,Non Interview,Non Interview
871,0,Yes,No
872,0,No,No
873,0,No,No
874,0,No,No
875,19,Non Interview,Non Interview
876,0,Non Interview,Non Interview
877,0,No,No
878,0,Non Interview,Non Interview
879,0,No,No
880,0,No,No
881,0,No,No
882,0,No,No
883,0,No,No
884,0,Non Interview,Non Interview
885,0,Non Interview,Non Interview
886,0,Non Interview,Non Interview
887,0,No,No
888,24,Yes,No
889,0,No,No
890,0,No,No
891,0,No,No
892,0,No,No
893,0,No,No
894,0,No,No
895,0,No,No
896,0,Non Interview,Non Interview
897,0,Non Interview,Non Interview
898,0,Non Interview,Non Interview
899,0,No,No
900,0,Non Interview,Non Interview
901,0,No,No
902,0,No,No
903,0,No,No
904,0,No,No
905,0,No,No
906,0,No,Don't Know
907,0,Don't Know,Yes
908,0,Non Interview,Non Interview
909,0,No,No
910,0,Non Interview,Non Interview
911,0,No,No
912,0,Non Interview,Non Interview
913,0,No,No
914,0,No,No
915,0,No,No
916,0,No,No
917,0,No,No
918,0,Non Interview,Non Interview
919,0,No,No
920,0,No,No
921,0,No,No
922,0,No,No
923,0,Non Interview,Non Interview
924,0,No,No
925,0,No,No
926,0,No,No
927,0,No,No
928,0,No,No
929,0,No,No
930,0,No,No
931,0,No,No
932,0,No,No
933,0,No,No
934,0,No,No
935,0,Non Interview,Non Interview
936,0,Non Interview,Non Interview
937,0,No,No
938,0,No,No
939,0,Non Interview,Non Interview
940,0,Non Interview,Non Interview
941,0,No,No
942,0,Non Interview,Non Interview
943,0,No,No
944,0,Non Interview,Non Interview
945,0,Non Interview,Non Interview
946,0,Non Interview,Non Interview
947,0,No,No
948,0,Non Interview,Non Interview
949,0,Non Interview,Non Interview
950,0,Non Interview,Non Interview
951,0,Non Interview,Non Interview
952,0,No,No
953,0,No,No
954,0,No,No
955,0,No,No
956,0,No,No
957,0,No,No
958,0,Non Interview,Non Interview
959,0,No,No
960,0,No,No
961,0,No,No
962,0,No,No
963,0,Non Interview,Non Interview
964,0,Non Interview,Non Interview
965,0,No,No
966,0,No,No
967,0,No,No
968,0,No,No
969,0,No,No
970,0,No,No
971,0,No,No
972,0,No,No
973,0,No,No
974,0,No,No
975,0,Non Interview,Non Interview
976,0,No,No
977,0,No,No
978,0,No,No
979,0,No,No
980,0,Non Interview,Non Interview
981,0,No,No
982,0,No,No
983,0,Non Interview,Non Interview
984,0,No,No
985,0,No,No
986,0,Valid Skip,No
987,0,No,No
988,29,No,No
989,21,Non Interview,Non Interview
990,0,Don't Know,No
991,0,No,No
992,0,Non Interview,Non Interview
993,0,No,No
994,0,No,No
995,0,No,No
996,0,No,No
997,19,No,No
998,0,No,No
999,18,Non Interview,Non Interview
1000,0,No,No
1001,0,No,No
1002,0,No,No
1003,0,No,No
1004,0,No,No
1005,0,Non Interview,Non Interview
1006,0,No,No
1007,0,No,No
1008,0,Non Interview,Non Interview
