,-4,0,1,2,3,4,-3,5
MAR_STATUS_2000.12,210.0,7913.0,588.0,248.0,10.0,10.0,5.0,
MAR_STATUS_2001.01,213.0,7868.0,612.0,260.0,12.0,11.0,8.0,
MAR_STATUS_2001.02,216.0,7816.0,640.0,282.0,12.0,12.0,6.0,
MAR_STATUS_2001.03,223.0,7761.0,666.0,302.0,13.0,13.0,6.0,
MAR_STATUS_2001.04,227.0,7723.0,683.0,319.0,11.0,15.0,6.0,
MAR_STATUS_2001.05,233.0,7683.0,699.0,336.0,12.0,15.0,6.0,
MAR_STATUS_2001.06,239.0,7616.0,726.0,369.0,13.0,15.0,6.0,
MAR_STATUS_2001.07,239.0,7595.0,723.0,394.0,13.0,14.0,6.0,
MAR_STATUS_2001.08,239.0,7561.0,739.0,410.0,13.0,16.0,6.0,
MAR_STATUS_2001.09,239.0,7550.0,734.0,425.0,13.0,16.0,7.0,
MAR_STATUS_2001.10,239.0,7500.0,766.0,441.0,14.0,17.0,7.0,
MAR_STATUS_2001.11,239.0,7480.0,770.0,454.0,17.0,17.0,7.0,
MAR_STATUS_2001.12,243.0,7456.0,772.0,468.0,18.0,20.0,7.0,
MAR_STATUS_2002.01,252.0,7398.0,808.0,479.0,21.0,21.0,5.0,
MAR_STATUS_2002.02,267.0,7340.0,833.0,494.0,23.0,23.0,4.0,
MAR_STATUS_2002.03,276.0,7290.0,859.0,505.0,24.0,26.0,4.0,
MAR_STATUS_2002.04,289.0,7243.0,877.0,515.0,28.0,28.0,4.0,
MAR_STATUS_2002.05,302.0,7201.0,891.0,528.0,30.0,28.0,4.0,
MAR_STATUS_2002.06,303.0,7141.0,929.0,550.0,30.0,27.0,3.0,1.0
MAR_STATUS_2002.07,303.0,7112.0,941.0,566.0,31.0,27.0,3.0,1.0
MAR_STATUS_2002.08,303.0,7078.0,949.0,592.0,31.0,27.0,3.0,1.0
MAR_STATUS_2002.09,303.0,7033.0,973.0,612.0,32.0,27.0,3.0,1.0
MAR_STATUS_2002.10,303.0,7012.0,971.0,635.0,32.0,27.0,3.0,1.0
MAR_STATUS_2002.11,303.0,6981.0,987.0,647.0,33.0,28.0,3.0,2.0
MAR_STATUS_2002.12,310.0,6948.0,986.0,672.0,34.0,28.0,4.0,2.0
MAR_STATUS_2003.01,327.0,6872.0,1019.0,693.0,36.0,30.0,5.0,2.0
MAR_STATUS_2003.02,346.0,6797.0,1050.0,716.0,35.0,30.0,7.0,3.0
MAR_STATUS_2003.03,359.0,6752.0,1067.0,730.0,35.0,31.0,7.0,3.0
MAR_STATUS_2003.04,367.0,6690.0,1102.0,748.0,36.0,31.0,7.0,3.0
MAR_STATUS_2003.05,376.0,6649.0,1102.0,775.0,39.0,33.0,7.0,3.0
MAR_STATUS_2003.06,382.0,6609.0,1103.0,806.0,37.0,37.0,7.0,3.0
MAR_STATUS_2003.07,383.0,6566.0,1115.0,834.0,37.0,39.0,7.0,3.0
MAR_STATUS_2003.08,383.0,6518.0,1125.0,865.0,41.0,42.0,7.0,3.0
MAR_STATUS_2003.09,383.0,6488.0,1131.0,887.0,43.0,43.0,6.0,3.0
MAR_STATUS_2003.10,383.0,6475.0,1120.0,909.0,41.0,47.0,6.0,3.0
MAR_STATUS_2003.11,386.0,6445.0,1118.0,934.0,43.0,49.0,6.0,3.0
MAR_STATUS_2003.12,401.0,6394.0,1137.0,946.0,43.0,50.0,10.0,3.0
MAR_STATUS_2004.01,416.0,6304.0,1192.0,959.0,43.0,55.0,12.0,3.0
