"No Response, x; Single, Not Cohabitating, x; Single, Cohabitating, x; Married, x; Separated, x; Divorced, x; Widowed, x","No Response, y","Single, Not Cohabitating, y","Single, Cohabitating, y","Married, y","Separated, y","Divorced, y","Widowed, y"
"3/12/08","788.0","3889.0","1555.0","2278.0","95.0","353.0","7.0"
"3/1/09","801.0","3851.0","1569.0","2273.0","98.0","366.0","7.0"
"3/2/09","808.0","3838.0","1553.0","2289.0","100.0","370.0","7.0"
"3/3/09","820.0","3800.0","1562.0","2300.0","102.0","374.0","7.0"
"3/4/09","834.0","3771.0","1561.0","2310.0","100.0","382.0","7.0"
"3/5/09","841.0","3748.0","1529.0","2360.0","99.0","381.0","7.0"
"3/6/09","848.0","3704.0","1535.0","2386.0","101.0","386.0","7.0"
"3/7/09","848.0","3689.0","1522.0","2403.0","105.0","393.0","7.0"
"3/8/09","848.0","3654.0","1513.0","2441.0","108.0","396.0","7.0"
"3/9/09","848.0","3655.0","1487.0","2465.0","106.0","399.0","7.0"
"3/10/09","853.0","3634.0","1478.0","2476.0","112.0","407.0","7.0"
"3/11/09","884.0","3586.0","1483.0","2479.0","111.0","416.0","7.0"
"3/12/09","906.0","3560.0","1478.0","2475.0","113.0","425.0","7.0"
"3/1/10","928.0","3526.0","1479.0","2483.0","115.0","426.0","7.0"
"3/2/10","946.0","3511.0","1474.0","2489.0","108.0","429.0","7.0"
"3/3/10","958.0","3496.0","1465.0","2494.0","105.0","440.0","7.0"
"3/4/10","970.0","3482.0","1450.0","2511.0","100.0","444.0","8.0"
"3/5/10","978.0","3458.0","1441.0","2535.0","99.0","448.0","7.0"
"3/6/10","978.0","3429.0","1430.0","2583.0","97.0","443.0","7.0"
"3/7/10","978.0","3429.0","1403.0","2605.0","99.0","446.0","7.0"
"3/8/10","978.0","3409.0","1393.0","2630.0","102.0","448.0","7.0"
"3/9/10","978.0","3398.0","1372.0","2659.0","102.0","451.0","7.0"
"3/10/10","978.0","3372.0","1370.0","2682.0","102.0","456.0","7.0"
"3/11/10","985.0","3354.0","1362.0","2695.0","97.0","465.0","7.0"
"3/12/10","1011.0","3334.0","1348.0","2689.0","106.0","467.0","8.0"
"3/1/11","1029.0","3299.0","1365.0","2684.0","106.0","472.0","8.0"
"3/2/11","1056.0","3276.0","1368.0","2668.0","110.0","474.0","9.0"
"3/3/11","1069.0","3247.0","1370.0","2673.0","112.0","482.0","9.0"
"3/4/11","1078.0","3220.0","1368.0","2689.0","111.0","485.0","9.0"
"3/5/11","1093.0","3201.0","1352.0","2704.0","111.0","490.0","9.0"
"3/6/11","1101.0","3171.0","1355.0","2723.0","116.0","485.0","9.0"
"3/7/11","1102.0","3155.0","1337.0","2756.0","113.0","489.0","9.0"
"3/8/11","1102.0","3136.0","1332.0","2776.0","112.0","494.0","9.0"
"3/9/11","1102.0","3121.0","1317.0","2793.0","114.0","504.0","10.0"
"3/10/11","1141.0","3091.0","1301.0","2786.0","114.0","515.0","11.0"
"3/11/11","1232.0","3030.0","1297.0","2761.0","109.0","519.0","11.0"
"3/12/11","1294.0","2999.0","1277.0","2745.0","107.0","526.0","12.0"
"3/1/12","1345.0","2948.0","1288.0","2734.0","106.0","527.0","12.0"
"3/2/12","1373.0","2920.0","1287.0","2736.0","102.0","530.0","12.0"
"3/3/12","1393.0","2908.0","1277.0","2737.0","99.0","534.0","12.0"
"3/4/12","1394.0","2894.0","1274.0","2750.0","97.0","539.0","12.0"
"3/5/12","1405.0","2871.0","1272.0","2761.0","93.0","546.0","12.0"
"3/6/12","1418.0","2842.0","1263.0","2790.0","90.0","546.0","12.0"
"3/7/12","1427.0","2820.0","1262.0","2804.0","86.0","550.0","12.0"
"3/8/12","1427.0","2820.0","1238.0","2830.0","85.0","549.0","12.0"
"3/9/12","1427.0","2809.0","1231.0","2847.0","84.0","551.0","12.0"
"3/10/12","1427.0","2799.0","1209.0","2879.0","82.0","553.0","12.0"
"3/11/12","1427.0","2785.0","1208.0","2892.0","84.0","553.0","12.0"
"3/12/12","1427.0","2779.0","1198.0","2904.0","84.0","557.0","12.0"
"3/1/13","1427.0","2762.0","1207.0","2904.0","85.0","564.0","12.0"
"3/2/13","1427.0","2745.0","1211.0","2912.0","83.0","571.0","12.0"
"3/3/13","1427.0","2731.0","1213.0","2923.0","85.0","571.0","11.0"
"3/4/13","1427.0","2710.0","1215.0","2935.0","83.0","580.0","11.0"
"3/5/13","1427.0","2699.0","1210.0","2955.0","80.0","579.0","11.0"
"3/6/13","1427.0","2686.0","1201.0","2972.0","82.0","582.0","11.0"
"3/7/13","1427.0","2673.0","1190.0","2993.0","83.0","584.0","11.0"
"3/8/13","1427.0","2641.0","1195.0","3016.0","85.0","587.0","10.0"
"3/9/13","1427.0","2621.0","1192.0","3038.0","86.0","587.0","10.0"
"3/10/13","1427.0","2608.0","1179.0","3065.0","85.0","587.0","10.0"
"3/11/13","1427.0","2599.0","1173.0","3075.0","85.0","591.0","11.0"
"3/12/13","1464.0","2573.0","1168.0","3059.0","84.0","595.0","12.0"
"3/1/14","1549.0","2533.0","1163.0","2998.0","90.0","601.0","13.0"
"3/2/14","1638.0","2497.0","1145.0","2965.0","90.0","596.0","14.0"
"3/3/14","1708.0","2462.0","1132.0","2945.0","91.0","590.0","13.0"
"3/4/14","1765.0","2430.0","1118.0","2932.0","88.0","594.0","13.0"
"3/5/14","1792.0","2416.0","1104.0","2927.0","92.0","594.0","12.0"
"3/6/14","1838.0","2401.0","1086.0","2920.0","91.0","589.0","12.0"
"3/7/14","1866.0","2388.0","1079.0","2922.0","87.0","584.0","11.0"
"3/8/14","1881.0","2363.0","1079.0","2934.0","88.0","580.0","11.0"
"3/9/14","1881.0","2344.0","1085.0","2948.0","88.0","579.0","11.0"
"3/10/14","1881.0","2327.0","1079.0","2968.0","87.0","583.0","11.0"
"3/11/14","1881.0","2318.0","1075.0","2977.0","88.0","586.0","11.0"
"3/12/14","1881.0","2317.0","1065.0","2987.0","90.0","585.0","11.0"
"3/1/15","1881.0","2304.0","1067.0","2994.0","92.0","587.0","11.0"
"3/2/15","1881.0","2301.0","1062.0","2998.0","92.0","591.0","11.0"
"3/3/15","1881.0","2296.0","1049.0","3006.0","95.0","598.0","11.0"
"3/4/15","1881.0","2296.0","1035.0","3020.0","97.0","596.0","11.0"
"3/5/15","1881.0","2283.0","1032.0","3033.0","97.0","599.0","11.0"
"3/6/15","1881.0","2268.0","1029.0","3048.0","97.0","602.0","11.0"
"3/7/15","1881.0","2255.0","1026.0","3062.0","100.0","601.0","11.0"
"3/8/15","1881.0","2236.0","1026.0","3079.0","103.0","600.0","11.0"
"3/9/15","1881.0","2229.0","1018.0","3089.0","105.0","603.0","11.0"
"3/10/15","1881.0","2215.0","1012.0","3106.0","107.0","603.0","12.0"
"3/11/15","3334.0","1712.0","793.0","2535.0","79.0","483.0","11.0"
"3/12/15","5565.0","1038.0","452.0","1560.0","45.0","293.0","9.0"
"3/1/16","6968.0","631.0","273.0","873.0","32.0","189.0","3.0"
"3/2/16","7769.0","401.0","169.0","505.0","18.0","111.0","2.0"
"3/3/16","8105.0","299.0","126.0","350.0","11.0","83.0","1.0"
"3/4/16","8398.0","211.0","81.0","227.0","7.0","52.0",""
"3/5/16","8596.0","138.0","51.0","149.0","4.0","41.0",""
"3/6/16","8757.0","75.0","30.0","94.0","2.0","24.0",""
"3/7/16","8875.0","39.0","15.0","41.0","","13.0",""
"3/8/16","8964.0","6.0","3.0","7.0","","4.0",""
