,LCI,top3_3,,,,,
226,10,Anything else,,,,,
227,2,Both biological parents,,,,,
228,3,Both biological parents,,,,,
229,1,Both biological parents,,,,,
230,3,"Two parents, biological father",,,,,
231,2,Anything else,,,,,
232,1,Both biological parents,,,,,
233,5,Anything else,,,,,
234,0,Anything else,,,,,
235,0,"Two parents, biological mother",,,,,
236,0,Both biological parents,,,,,
237,0,Anything else,,,,,
239,1,Both biological parents,,,,,
240,1,Both biological parents,,,,,
241,2,Both biological parents,,,,,
242,7,Biological mother only,,,,,
243,1,Both biological parents,,,,,
244,0,Both biological parents,,,,,
245,1,Biological mother only,,,,,
246,0,Biological mother only,,,,,
247,0,Biological mother only,,,,,
249,3,Anything else,,,,,
250,0,Both biological parents,,,,,
251,3,Both biological parents,,,,,
252,0,Both biological parents,,,,,
253,0,Biological mother only,,,,,
255,1,Biological father only,,,,,
256,1,Biological father only,,,,,
257,3,Anything else,,,,,
258,0,Both biological parents,,,,,
259,0,Biological mother only,,,,,
260,0,Biological mother only,,,,,
261,0,Biological mother only,,,,,
262,0,Biological mother only,,,,,
263,3,Both biological parents,,,,,
264,3,Both biological parents,,,,,
265,6,Anything else,,,,,
266,3,Both biological parents,,,,,
267,1,Anything else,,,,,
268,2,Biological father only,,,,,
269,3,Biological mother only,,,,,
270,3,Anything else,,,,,
271,6,Anything else,,,,,
272,3,Anything else,,,,,
273,5,Anything else,,,,,
274,6,Anything else,,,,,
275,1,Anything else,,,,,
276,3,Biological mother only,,,,,
277,3,Both biological parents,,,,,
279,1,Both biological parents,,,,,
280,0,"Two parents, biological mother",,,,,
281,2,Anything else,,,,,
282,0,Both biological parents,,,,,
283,4,Anything else,,,,,
284,4,Anything else,,,,,
285,1,Both biological parents,,,,,
286,1,Biological mother only,,,,,
287,4,Biological mother only,,,,,
288,1,Biological mother only,,,,,
289,1,Anything else,,,,,
290,1,Both biological parents,,,,,
291,2,Both biological parents,,,,,
292,2,Both biological parents,,,,,
293,1,Both biological parents,,,,,
294,3,"Two parents, biological mother",,,,,
295,4,Both biological parents,,,,,
296,1,Both biological parents,,,,,
297,8,Anything else,,,,,
299,1,Both biological parents,,,,,
302,1,Anything else,,,,,
303,1,"Two parents, biological mother",,,,,
304,1,Both biological parents,,,,,
306,2,Anything else,,,,,
307,1,Foster parent(s),,,,,
310,1,Both biological parents,,,,,
311,3,Both biological parents,,,,,
312,3,Anything else,,,,,
313,1,Anything else,,,,,
314,4,Both biological parents,,,,,
317,0,Biological mother only,,,,,
319,0,Biological mother only,,,,,
320,3,Both biological parents,,,,,
321,0,Biological mother only,,,,,
322,1,"Two parents, biological mother",,,,,
323,0,Both biological parents,,,,,
324,0,Biological mother only,,,,,
325,1,Both biological parents,,,,,
326,1,Both biological parents,,,,,
327,0,Both biological parents,,,,,
328,0,Biological mother only,,,,,
331,1,Biological father only,,,,,
332,3,Biological father only,,,,,
333,1,Biological mother only,,,,,
334,0,Both biological parents,,,,,
335,1,Both biological parents,,,,,
336,0,Both biological parents,,,,,
337,1,Both biological parents,,,,,
338,0,Both biological parents,,,,,
339,0,Both biological parents,,,,,
340,0,Both biological parents,,,,,
341,4,Biological father only,,,,,
342,0,Biological father only,,,,,
343,2,Anything else,,,,,
344,5,Biological father only,,,,,
345,3,"Two parents, biological mother",,,,,
346,0,Both biological parents,,,,,
347,1,Both biological parents,,,,,
348,8,Biological mother only,,,,,
349,1,Biological father only,,,,,
350,4,Anything else,,,,,
352,11,Anything else,,,,,
353,1,Anything else,,,,,
354,4,Anything else,,,,,
355,0,Biological mother only,,,,,
356,1,Both biological parents,,,,,
357,1,Both biological parents,,,,,
358,2,Both biological parents,,,,,
359,1,Both biological parents,,,,,
361,3,Anything else,,,,,
362,1,Both biological parents,,,,,
363,2,Anything else,,,,,
364,5,Anything else,,,,,
365,1,Both biological parents,,,,,
366,3,Both biological parents,,,,,
367,1,Both biological parents,,,,,
368,0,Both biological parents,,,,,
369,4,"No parents, grandparents",,,,,
371,0,Biological mother only,,,,,
372,3,Biological mother only,,,,,
373,3,"Two parents, biological mother",,,,,
375,3,Both biological parents,,,,,
376,1,Biological mother only,,,,,
377,3,Both biological parents,,,,,
381,7,Anything else,,,,,
383,0,Both biological parents,,,,,
384,4,Anything else,,,,,
385,1,Biological mother only,,,,,
386,1,Biological mother only,,,,,
387,1,Both biological parents,,,,,
389,4,Anything else,,,,,
391,1,Both biological parents,,,,,
392,2,Biological father only,,,,,
393,0,Both biological parents,,,,,
394,0,Both biological parents,,,,,
395,3,Both biological parents,,,,,
396,4,Anything else,,,,,
397,1,Both biological parents,,,,,
400,1,Anything else,,,,,
401,4,Biological father only,,,,,
402,3,Anything else,,,,,
403,1,Both biological parents,,,,,
404,1,Anything else,,,,,
405,0,Both biological parents,,,,,
406,1,Biological mother only,,,,,
407,0,Biological mother only,,,,,
408,4,Biological father only,,,,,
409,4,Biological mother only,,,,,
410,4,Anything else,,,,,
411,1,Both biological parents,,,,,
412,0,Biological mother only,,,,,
414,2,Anything else,,,,,
415,3,Both biological parents,,,,,
416,5,Anything else,,,,,
417,0,Biological father only,,,,,
418,0,Both biological parents,,,,,
419,1,"Two parents, biological mother",,,,,
420,1,Both biological parents,,,,,
421,1,"Two parents, biological father",,,,,
422,4,Anything else,,,,,
423,1,Both biological parents,,,,,
424,1,Both biological parents,,,,,
425,6,Biological father only,,,,,
426,3,Biological mother only,,,,,
427,5,Biological mother only,,,,,
428,2,Anything else,,,,,
429,0,Biological mother only,,,,,
430,0,"Two parents, biological mother",,,,,
431,1,"Two parents, biological mother",,,,,
433,1,"Two parents, biological father",,,,,
436,1,Anything else,,,,,
437,3,Both biological parents,,,,,
438,1,Both biological parents,,,,,
439,5,Both biological parents,,,,,
440,5,Biological mother only,,,,,
441,1,Anything else,,,,,
442,4,Anything else,,,,,
443,5,Both biological parents,,,,,
444,0,Anything else,,,,,
445,2,Anything else,,,,,
446,1,Both biological parents,,,,,
447,0,Both biological parents,,,,,
449,4,Anything else,,,,,
450,4,Both biological parents,,,,,
453,0,Anything else,,,,,
454,1,Both biological parents,,,,,
455,1,"Two parents, biological mother",,,,,
456,4,"Two parents, biological father",,,,,
457,1,Both biological parents,,,,,
458,0,Both biological parents,,,,,
459,2,Both biological parents,,,,,
460,1,Both biological parents,,,,,
461,2,Biological mother only,,,,,
462,1,Biological mother only,,,,,
463,3,Biological mother only,,,,,
464,1,"Two parents, biological mother",,,,,
465,3,Biological mother only,,,,,
466,1,Both biological parents,,,,,
467,1,Anything else,,,,,
468,1,Both biological parents,,,,,
469,4,Biological mother only,,,,,
470,1,Both biological parents,,,,,
471,0,Both biological parents,,,,,
473,5,Both biological parents,,,,,
474,1,"Two parents, biological father",,,,,
475,3,Biological mother only,,,,,
476,1,Both biological parents,,,,,
477,1,Both biological parents,,,,,
478,1,Both biological parents,,,,,
479,1,Biological mother only,,,,,
480,3,Biological mother only,,,,,
481,0,"No parents, grandparents",,,,,
482,0,Biological mother only,,,,,
483,1,Biological mother only,,,,,
484,1,Both biological parents,,,,,
485,1,Both biological parents,,,,,
486,1,Both biological parents,,,,,
487,1,Anything else,,,,,
488,1,"Two parents, biological mother",,,,,
489,1,Both biological parents,,,,,
491,1,Both biological parents,,,,,
495,1,Biological mother only,,,,,
496,1,Both biological parents,,,,,
497,1,Anything else,,,,,
502,1,Anything else,,,,,
504,0,Biological father only,,,,,
506,1,Both biological parents,,,,,
507,4,Both biological parents,,,,,
508,1,"Two parents, biological mother",,,,,
509,0,Biological mother only,,,,,
510,3,Anything else,,,,,
511,3,Anything else,,,,,
