,LCI,top3_3,,,,,
1803,0,Both biological parents,,,,,
1805,0,Both biological parents,,,,,
1806,1,Both biological parents,,,,,
1807,0,Both biological parents,,,,,
1808,0,Both biological parents,,,,,
1809,2,Both biological parents,,,,,
1810,1,Anything else,,,,,
1811,3,Anything else,,,,,
1812,1,Both biological parents,,,,,
1813,5,Both biological parents,,,,,
1814,1,Both biological parents,,,,,
1815,1,Anything else,,,,,
1816,4,"Two parents, biological father",,,,,
1817,1,Biological mother only,,,,,
1820,5,"Two parents, biological mother",,,,,
1821,1,Both biological parents,,,,,
1822,0,Biological mother only,,,,,
1823,4,Both biological parents,,,,,
1824,1,Anything else,,,,,
1825,2,Both biological parents,,,,,
1826,3,Anything else,,,,,
1827,1,"Two parents, biological father",,,,,
1828,3,"Two parents, biological mother",,,,,
1830,0,Both biological parents,,,,,
1831,0,Both biological parents,,,,,
1833,0,Adoptive parent(s),,,,,
1834,1,Both biological parents,,,,,
1835,1,Anything else,,,,,
1836,5,Both biological parents,,,,,
1837,4,Both biological parents,,,,,
1838,2,Anything else,,,,,
1839,5,"Two parents, biological mother",,,,,
1840,2,Anything else,,,,,
1841,1,Both biological parents,,,,,
1842,3,Anything else,,,,,
1843,1,Anything else,,,,,
1844,0,Anything else,,,,,
1846,0,Biological mother only,,,,,
1847,2,Both biological parents,,,,,
1848,5,Both biological parents,,,,,
1850,1,Biological mother only,,,,,
1851,3,Anything else,,,,,
1853,1,Both biological parents,,,,,
1854,1,Both biological parents,,,,,
1855,1,Both biological parents,,,,,
1857,1,Both biological parents,,,,,
1858,1,Both biological parents,,,,,
1859,1,Both biological parents,,,,,
1861,3,Both biological parents,,,,,
1862,3,Anything else,,,,,
1863,4,Anything else,,,,,
1864,4,Both biological parents,,,,,
1865,1,Both biological parents,,,,,
1866,4,Anything else,,,,,
1867,8,Biological father only,,,,,
1868,0,Adoptive parent(s),,,,,
1869,2,Biological mother only,,,,,
1870,4,Anything else,,,,,
1871,1,Both biological parents,,,,,
1872,3,Anything else,,,,,
1873,3,Anything else,,,,,
1874,1,Anything else,,,,,
1875,3,Both biological parents,,,,,
1877,1,Anything else,,,,,
1879,1,Anything else,,,,,
1880,1,Both biological parents,,,,,
1881,4,Both biological parents,,,,,
1882,1,Both biological parents,,,,,
1883,0,Both biological parents,,,,,
1884,0,Both biological parents,,,,,
1885,5,Anything else,,,,,
1888,0,Biological father only,,,,,
1890,1,Both biological parents,,,,,
1891,1,Anything else,,,,,
1892,1,"Two parents, biological mother",,,,,
1893,3,"Two parents, biological father",,,,,
1894,1,Both biological parents,,,,,
1895,1,Both biological parents,,,,,
1896,4,Anything else,,,,,
1897,1,Anything else,,,,,
1898,6,Biological mother only,,,,,
1899,5,Anything else,,,,,
1900,2,Both biological parents,,,,,
1901,4,Both biological parents,,,,,
1902,1,Anything else,,,,,
1905,1,Anything else,,,,,
1906,3,"Two parents, biological mother",,,,,
1907,1,Both biological parents,,,,,
1908,5,Both biological parents,,,,,
1909,3,Biological mother only,,,,,
1910,2,Anything else,,,,,
1911,1,"Two parents, biological mother",,,,,
1912,1,Anything else,,,,,
1913,7,"Two parents, biological mother",,,,,
1914,3,Anything else,,,,,
1915,1,Both biological parents,,,,,
1916,1,Both biological parents,,,,,
1918,4,Anything else,,,,,
1919,3,"Two parents, biological mother",,,,,
1920,5,Biological mother only,,,,,
1921,4,Both biological parents,,,,,
1922,1,Adoptive parent(s),,,,,
1923,4,Anything else,,,,,
1924,1,Anything else,,,,,
1925,5,Anything else,,,,,
1926,0,Biological mother only,,,,,
1927,1,Biological mother only,,,,,
1928,4,Anything else,,,,,
1929,1,Anything else,,,,,
1930,4,Biological mother only,,,,,
1931,5,Anything else,,,,,
1932,7,Anything else,,,,,
1934,1,Biological mother only,,,,,
1935,1,Biological mother only,,,,,
1936,9,Anything else,,,,,
1937,1,Both biological parents,,,,,
1938,8,Anything else,,,,,
1939,0,Anything else,,,,,
1940,1,Both biological parents,,,,,
1941,2,Both biological parents,,,,,
1942,0,Anything else,,,,,
1944,3,Anything else,,,,,
1945,7,Anything else,,,,,
1946,1,Biological mother only,,,,,
1947,7,Anything else,,,,,
1948,1,Both biological parents,,,,,
1949,0,Anything else,,,,,
1950,3,Both biological parents,,,,,
1951,0,Anything else,,,,,
1953,3,Anything else,,,,,
1954,0,Both biological parents,,,,,
1956,3,Anything else,,,,,
1957,3,Both biological parents,,,,,
1958,0,Both biological parents,,,,,
1959,5,"Two parents, biological mother",,,,,
1960,1,Both biological parents,,,,,
1961,5,Anything else,,,,,
1963,0,"Two parents, biological father",,,,,
1964,1,Both biological parents,,,,,
1965,1,Both biological parents,,,,,
1966,1,Both biological parents,,,,,
1967,3,Both biological parents,,,,,
1968,1,"Two parents, biological mother",,,,,
1969,3,Anything else,,,,,
1970,2,Both biological parents,,,,,
1971,4,"Two parents, biological mother",,,,,
1972,1,Anything else,,,,,
1973,1,Both biological parents,,,,,
1974,7,Anything else,,,,,
1975,6,Anything else,,,,,
1976,1,Biological mother only,,,,,
1977,7,Anything else,,,,,
1978,4,Anything else,,,,,
1979,4,Both biological parents,,,,,
1980,0,Anything else,,,,,
1981,2,Both biological parents,,,,,
1984,4,Anything else,,,,,
1985,4,Biological mother only,,,,,
1986,5,Biological mother only,,,,,
1987,2,Anything else,,,,,
1988,1,Both biological parents,,,,,
1990,2,"Two parents, biological father",,,,,
1991,0,Both biological parents,,,,,
1992,1,Anything else,,,,,
1993,0,Both biological parents,,,,,
1995,0,Both biological parents,,,,,
1996,0,Anything else,,,,,
1997,1,Biological mother only,,,,,
1998,5,Both biological parents,,,,,
1999,3,Both biological parents,,,,,
2001,4,Anything else,,,,,
2002,1,Anything else,,,,,
2003,1,Biological mother only,,,,,
2004,5,Both biological parents,,,,,
2006,3,Both biological parents,,,,,
2007,2,Both biological parents,,,,,
2008,3,Anything else,,,,,
2009,13,Anything else,,,,,
2010,3,Anything else,,,,,
2011,2,Anything else,,,,,
2012,0,Anything else,,,,,
2013,6,Anything else,,,,,
2014,5,Biological mother only,,,,,
2015,6,Both biological parents,,,,,
2016,6,Anything else,,,,,
2017,2,Anything else,,,,,
2019,2,Anything else,,,,,
2020,0,Biological mother only,,,,,
2021,0,Biological mother only,,,,,
2022,4,Both biological parents,,,,,
2023,7,Anything else,,,,,
2024,1,Both biological parents,,,,,
2025,1,Both biological parents,,,,,
2026,0,"Two parents, biological mother",,,,,
2027,1,Biological mother only,,,,,
2028,4,Anything else,,,,,
2029,5,Adoptive parent(s),,,,,
2030,1,Both biological parents,,,,,
2032,3,Both biological parents,,,,,
2034,3,Anything else,,,,,
2035,3,Anything else,,,,,
2036,3,Both biological parents,,,,,
2037,3,Biological mother only,,,,,
2038,0,"Two parents, biological mother",,,,,
2039,4,Both biological parents,,,,,
2040,1,Both biological parents,,,,,
2042,3,Both biological parents,,,,,
2043,4,Biological mother only,,,,,
2044,1,Biological mother only,,,,,
2045,3,Anything else,,,,,
2047,1,Both biological parents,,,,,
2048,1,Both biological parents,,,,,
2052,1,Anything else,,,,,
2053,0,Both biological parents,,,,,
2054,0,Both biological parents,,,,,
2055,0,Both biological parents,,,,,
2056,1,Anything else,,,,,
2057,1,Biological mother only,,,,,
2058,1,Both biological parents,,,,,
2059,1,Biological mother only,,,,,
2060,1,Both biological parents,,,,,
2061,1,Anything else,,,,,
2062,0,Both biological parents,,,,,
2063,1,Both biological parents,,,,,
2065,1,Biological mother only,,,,,
2066,0,Biological mother only,,,,,
2067,0,"Two parents, biological mother",,,,,
2068,1,Both biological parents,,,,,
2069,1,Anything else,,,,,
2070,0,Biological mother only,,,,,
2071,1,Both biological parents,,,,,
2072,0,Both biological parents,,,,,
2073,2,Anything else,,,,,
2074,5,Biological mother only,,,,,
2075,1,Both biological parents,,,,,
2076,1,Both biological parents,,,,,
2077,2,Both biological parents,,,,,
2080,3,Both biological parents,,,,,
2081,1,Both biological parents,,,,,
2082,0,Biological mother only,,,,,
2083,0,Biological mother only,,,,,
2084,0,Both biological parents,,,,,
2085,5,Anything else,,,,,
2086,1,Both biological parents,,,,,
2087,0,Both biological parents,,,,,
2088,0,Both biological parents,,,,,
2089,1,Both biological parents,,,,,
2090,4,Biological father only,,,,,
2091,1,Anything else,,,,,
2092,3,Both biological parents,,,,,
2093,1,Biological father only,,,,,
2094,6,Anything else,,,,,
2095,0,Anything else,,,,,
2096,5,Anything else,,,,,
2097,1,"Two parents, biological mother",,,,,
2098,3,Biological mother only,,,,,
2099,1,Anything else,,,,,
2100,2,Anything else,,,,,
2101,5,"Two parents, biological mother",,,,,
2102,5,Anything else,,,,,
2103,2,Both biological parents,,,,,
2104,1,Biological mother only,,,,,
2105,4,Biological mother only,,,,,
2106,4,Both biological parents,,,,,
2107,1,Anything else,,,,,
2108,1,Anything else,,,,,
2109,1,Both biological parents,,,,,
2110,0,Both biological parents,,,,,
2111,2,"Two parents, biological mother",,,,,
2112,3,Anything else,,,,,
2113,4,Anything else,,,,,
2114,6,Anything else,,,,,
2115,5,"Two parents, biological mother",,,,,
2116,5,Anything else,,,,,
2117,1,Both biological parents,,,,,
2118,7,Anything else,,,,,
2119,4,Anything else,,,,,
2120,3,Anything else,,,,,
2121,2,Both biological parents,,,,,
2122,3,Anything else,,,,,
2123,6,Anything else,,,,,
2125,3,Both biological parents,,,,,
2126,0,Both biological parents,,,,,
2127,1,Biological father only,,,,,
2129,3,"Two parents, biological mother",,,,,
2130,1,Both biological parents,,,,,
2131,6,Anything else,,,,,
2132,2,Anything else,,,,,
2133,1,Biological mother only,,,,,
2134,4,Anything else,,,,,
2135,7,Anything else,,,,,
2136,3,Anything else,,,,,
2138,0,"Two parents, biological father",,,,,
2139,1,Both biological parents,,,,,
2140,1,Both biological parents,,,,,
2142,3,Anything else,,,,,
2143,3,Both biological parents,,,,,
2144,1,Both biological parents,,,,,
2146,0,Both biological parents,,,,,
2147,3,Anything else,,,,,
2148,0,Both biological parents,,,,,
2149,4,Anything else,,,,,
2150,1,Biological mother only,,,,,
2151,1,Anything else,,,,,
2152,3,"Two parents, biological mother",,,,,
2154,7,Anything else,,,,,
2155,0,Biological mother only,,,,,
2156,0,Biological mother only,,,,,
2157,7,Biological mother only,,,,,
2159,5,Both biological parents,,,,,
2160,1,Both biological parents,,,,,
2161,4,Biological mother only,,,,,
2162,0,Both biological parents,,,,,
2163,1,Both biological parents,,,,,
2164,1,Both biological parents,,,,,
2165,3,Anything else,,,,,
2166,3,Both biological parents,,,,,
2167,1,"Two parents, biological mother",,,,,
2168,1,Anything else,,,,,
2169,4,Biological mother only,,,,,
2171,3,Both biological parents,,,,,
2172,4,Both biological parents,,,,,
2173,12,Biological mother only,,,,,
2174,1,Both biological parents,,,,,
2175,2,"Two parents, biological father",,,,,
2176,1,"Two parents, biological mother",,,,,
2177,4,Biological mother only,,,,,
2178,2,Both biological parents,,,,,
2179,3,Both biological parents,,,,,
2180,3,Both biological parents,,,,,
2181,2,Anything else,,,,,
2182,1,Both biological parents,,,,,
2183,3,Both biological parents,,,,,
2184,0,Both biological parents,,,,,
2185,3,Anything else,,,,,
2186,1,Anything else,,,,,
2187,0,Adoptive parent(s),,,,,
2188,3,Biological mother only,,,,,
2189,3,Both biological parents,,,,,
2190,0,Both biological parents,,,,,
2191,4,"Two parents, biological mother",,,,,
2192,0,Both biological parents,,,,,
2194,2,Anything else,,,,,
2195,1,Biological mother only,,,,,
2200,1,Both biological parents,,,,,
2201,1,Both biological parents,,,,,
2202,1,Both biological parents,,,,,
2203,1,Both biological parents,,,,,
2204,5,Both biological parents,,,,,
2205,3,Both biological parents,,,,,
2206,2,Both biological parents,,,,,
2207,4,Anything else,,,,,
2208,1,Anything else,,,,,
2209,0,Biological mother only,,,,,
2210,1,Adoptive parent(s),,,,,
2212,1,Both biological parents,,,,,
2214,7,Anything else,,,,,
2215,1,Both biological parents,,,,,
2216,3,Both biological parents,,,,,
2217,0,Both biological parents,,,,,
2220,6,Biological mother only,,,,,
2222,0,Biological mother only,,,,,
2223,2,Both biological parents,,,,,
2224,4,Both biological parents,,,,,
2225,0,Biological mother only,,,,,
2226,9,Both biological parents,,,,,
2227,2,Anything else,,,,,
2228,1,Both biological parents,,,,,
2229,3,Anything else,,,,,
2230,0,"Two parents, biological mother",,,,,
2231,1,Anything else,,,,,
2232,1,Biological mother only,,,,,
2233,1,Both biological parents,,,,,
2234,0,Both biological parents,,,,,
2235,4,Biological mother only,,,,,
2239,4,Both biological parents,,,,,
2241,0,"No parents, grandparents",,,,,
2242,3,Both biological parents,,,,,
2243,1,Both biological parents,,,,,
2244,1,Anything else,,,,,
2245,1,Biological mother only,,,,,
2247,3,Anything else,,,,,
2248,1,Biological mother only,,,,,
2249,1,Biological mother only,,,,,
2250,1,Biological mother only,,,,,
2251,3,Both biological parents,,,,,
2252,3,Anything else,,,,,
2253,8,"Two parents, biological mother",,,,,
2257,6,Biological mother only,,,,,
2258,3,Biological mother only,,,,,
2259,3,"Two parents, biological mother",,,,,
2260,0,Both biological parents,,,,,
2261,3,Anything else,,,,,
2262,0,"Two parents, biological mother",,,,,
2266,1,Both biological parents,,,,,
2267,3,Both biological parents,,,,,
2269,1,"Two parents, biological mother",,,,,
2270,1,Biological mother only,,,,,
2271,3,Both biological parents,,,,,
2272,0,Both biological parents,,,,,
2273,3,"Two parents, biological father",,,,,
2274,0,"Two parents, biological mother",,,,,
2275,3,Anything else,,,,,
2276,0,Both biological parents,,,,,
2277,0,Biological mother only,,,,,
2278,0,Biological mother only,,,,,
2279,4,Anything else,,,,,
2280,1,Anything else,,,,,
2282,11,Both biological parents,,,,,
2285,0,Both biological parents,,,,,
2286,3,Both biological parents,,,,,
2287,1,Biological mother only,,,,,
2288,3,Biological mother only,,,,,
2289,6,"Two parents, biological mother",,,,,
2290,3,Anything else,,,,,
2291,0,Biological mother only,,,,,
2292,0,Both biological parents,,,,,
2293,3,Both biological parents,,,,,
2294,3,Biological mother only,,,,,
2295,1,Biological mother only,,,,,
2298,3,"Two parents, biological father",,,,,
2299,3,"Two parents, biological father",,,,,
2300,1,Anything else,,,,,
2301,1,Biological father only,,,,,
2303,4,Anything else,,,,,
2304,0,Anything else,,,,,
2305,0,Both biological parents,,,,,
2306,11,Anything else,,,,,
2307,2,Biological father only,,,,,
2308,5,Anything else,,,,,
2309,1,Both biological parents,,,,,
2310,1,Both biological parents,,,,,
2311,6,Anything else,,,,,
2312,6,Both biological parents,,,,,
2313,8,Anything else,,,,,
2314,4,Biological mother only,,,,,
2315,1,Anything else,,,,,
2316,3,Anything else,,,,,
2317,3,Anything else,,,,,
2318,3,Anything else,,,,,
2319,4,Anything else,,,,,
2320,6,Anything else,,,,,
2321,3,Both biological parents,,,,,
2322,1,Both biological parents,,,,,
2323,1,Biological mother only,,,,,
2324,1,Both biological parents,,,,,
2325,1,Both biological parents,,,,,
2326,0,Both biological parents,,,,,
2327,0,Both biological parents,,,,,
2328,1,Both biological parents,,,,,
2329,1,Both biological parents,,,,,
2330,3,Biological mother only,,,,,
2331,3,Biological mother only,,,,,
2332,3,"Two parents, biological mother",,,,,
2333,7,Anything else,,,,,
2334,1,Both biological parents,,,,,
2335,2,Anything else,,,,,
2336,1,Both biological parents,,,,,
2338,1,Both biological parents,,,,,
2339,3,"Two parents, biological mother",,,,,
2340,5,Both biological parents,,,,,
2341,1,Both biological parents,,,,,
2342,1,Both biological parents,,,,,
2343,3,Both biological parents,,,,,
2344,1,Both biological parents,,,,,
2345,1,Biological father only,,,,,
2346,2,Anything else,,,,,
2347,3,Biological father only,,,,,
2348,1,Anything else,,,,,
2350,2,Anything else,,,,,
2352,2,Both biological parents,,,,,
2353,1,Both biological parents,,,,,
2354,0,Both biological parents,,,,,
2355,0,Biological mother only,,,,,
2356,5,Anything else,,,,,
2357,9,Anything else,,,,,
2358,3,Biological mother only,,,,,
2360,0,Biological father only,,,,,
2361,0,Both biological parents,,,,,
2362,5,Anything else,,,,,
2364,3,"Two parents, biological mother",,,,,
2365,1,Anything else,,,,,
2366,10,Anything else,,,,,
2367,0,Both biological parents,,,,,
2368,2,"Two parents, biological mother",,,,,
2369,0,Biological mother only,,,,,
2370,1,Biological mother only,,,,,
2371,2,Biological mother only,,,,,
2372,3,Anything else,,,,,
2373,0,Both biological parents,,,,,
2374,3,"Two parents, biological mother",,,,,
2375,0,"Two parents, biological mother",,,,,
2376,1,Anything else,,,,,
2377,1,Both biological parents,,,,,
2378,2,Biological father only,,,,,
2379,0,Both biological parents,,,,,
2380,1,"Two parents, biological mother",,,,,
2381,1,Biological mother only,,,,,
2382,4,Anything else,,,,,
2383,3,"Two parents, biological mother",,,,,
2384,0,"Two parents, biological mother",,,,,
2385,4,Anything else,,,,,
2386,6,Anything else,,,,,
2387,1,Both biological parents,,,,,
2388,1,Both biological parents,,,,,
2389,1,Both biological parents,,,,,
2390,1,Both biological parents,,,,,
2391,1,Both biological parents,,,,,
2392,1,Both biological parents,,,,,
2393,1,Both biological parents,,,,,
2394,1,Both biological parents,,,,,
2395,2,Anything else,,,,,
2396,4,Anything else,,,,,
2397,2,Biological mother only,,,,,
2398,1,Both biological parents,,,,,
2399,1,Both biological parents,,,,,
2400,3,Both biological parents,,,,,
2401,4,Both biological parents,,,,,
2402,0,Both biological parents,,,,,
2403,3,Biological father only,,,,,
2404,0,Biological mother only,,,,,
2405,2,"Two parents, biological mother",,,,,
2406,1,"Two parents, biological mother",,,,,
2407,5,Anything else,,,,,
2408,0,Both biological parents,,,,,
2410,1,Biological mother only,,,,,
2413,1,Anything else,,,,,
2414,2,Anything else,,,,,
2415,4,Anything else,,,,,
2416,1,Both biological parents,,,,,
2418,0,Biological mother only,,,,,
2419,1,Biological mother only,,,,,
2420,0,Biological mother only,,,,,
2421,0,Both biological parents,,,,,
2422,3,Biological father only,,,,,
2423,12,Anything else,,,,,
2426,5,Anything else,,,,,
2427,4,"Two parents, biological mother",,,,,
2428,0,"Two parents, biological father",,,,,
2429,4,"Two parents, biological mother",,,,,
2430,1,Both biological parents,,,,,
2431,4,Both biological parents,,,,,
2432,0,Both biological parents,,,,,
2433,0,Both biological parents,,,,,
2434,1,Anything else,,,,,
2435,1,Both biological parents,,,,,
2436,3,Anything else,,,,,
2437,3,Both biological parents,,,,,
2438,9,Anything else,,,,,
2439,1,Biological mother only,,,,,
2441,6,Biological mother only,,,,,
2442,3,Biological mother only,,,,,
2443,9,"Two parents, biological mother",,,,,
2444,3,"Two parents, biological mother",,,,,
2447,1,Biological mother only,,,,,
2448,2,Both biological parents,,,,,
2449,1,Both biological parents,,,,,
2450,5,Anything else,,,,,
2451,1,Biological mother only,,,,,
2452,14,Biological mother only,,,,,
2453,8,Anything else,,,,,
2454,0,Both biological parents,,,,,
2457,1,Both biological parents,,,,,
2458,3,Anything else,,,,,
2459,1,Both biological parents,,,,,
2460,1,Anything else,,,,,
2461,0,Both biological parents,,,,,
2462,1,Anything else,,,,,
2463,0,Biological mother only,,,,,
2464,0,Both biological parents,,,,,
2465,0,Both biological parents,,,,,
2466,0,Anything else,,,,,
2468,1,Both biological parents,,,,,
2469,3,"Two parents, biological mother",,,,,
2470,3,Anything else,,,,,
2471,2,Both biological parents,,,,,
2472,0,Both biological parents,,,,,
2473,0,Both biological parents,,,,,
2474,2,Adoptive parent(s),,,,,
2475,1,Anything else,,,,,
2476,1,Anything else,,,,,
2477,1,Both biological parents,,,,,
2478,7,Biological mother only,,,,,
2479,2,"Two parents, biological mother",,,,,
2480,1,"Two parents, biological mother",,,,,
2481,1,Both biological parents,,,,,
2482,2,Anything else,,,,,
2483,3,Biological father only,,,,,
2484,7,Anything else,,,,,
2485,0,Both biological parents,,,,,
2486,0,Both biological parents,,,,,
2487,1,Anything else,,,,,
2489,1,Anything else,,,,,
2490,3,Both biological parents,,,,,
2491,4,Anything else,,,,,
2492,1,Both biological parents,,,,,
2493,3,Biological mother only,,,,,
2494,1,Anything else,,,,,
2495,1,Both biological parents,,,,,
2497,6,Anything else,,,,,
2498,10,Anything else,,,,,
2499,7,Biological mother only,,,,,
2500,1,Anything else,,,,,
2501,7,Anything else,,,,,
2502,2,"Two parents, biological mother",,,,,
2503,6,Both biological parents,,,,,
2504,1,Anything else,,,,,
2505,9,Anything else,,,,,
2506,0,Biological mother only,,,,,
2508,10,Both biological parents,,,,,
2509,2,Anything else,,,,,
2511,5,Both biological parents,,,,,
2512,11,Biological mother only,,,,,
2514,1,"Two parents, biological mother",,,,,
2515,4,Anything else,,,,,
2516,6,Anything else,,,,,
2517,0,Biological mother only,,,,,
2518,1,Both biological parents,,,,,
2519,1,Both biological parents,,,,,
2520,3,Both biological parents,,,,,
2521,0,Both biological parents,,,,,
2522,0,Biological father only,,,,,
2523,1,"Two parents, biological mother",,,,,
2524,2,Both biological parents,,,,,
2525,4,Anything else,,,,,
2526,5,Anything else,,,,,
2527,7,Biological mother only,,,,,
2529,13,Biological mother only,,,,,
2530,7,Anything else,,,,,
2531,3,Biological mother only,,,,,
2532,1,Biological mother only,,,,,
2533,1,Anything else,,,,,
2538,1,Anything else,,,,,
2539,1,Anything else,,,,,
2540,1,Both biological parents,,,,,
2541,1,Anything else,,,,,
2543,1,Both biological parents,,,,,
2544,3,Both biological parents,,,,,
2547,0,Biological mother only,,,,,
2548,1,"Two parents, biological mother",,,,,
2549,3,Anything else,,,,,
2550,1,Both biological parents,,,,,
2551,1,Biological mother only,,,,,
2552,4,Anything else,,,,,
2553,0,Biological mother only,,,,,
2554,1,Anything else,,,,,
2555,4,Anything else,,,,,
2557,3,Anything else,,,,,
2558,4,Anything else,,,,,
2559,3,Anything else,,,,,
2560,1,Both biological parents,,,,,
2561,1,Anything else,,,,,
2562,1,Both biological parents,,,,,
2563,3,Both biological parents,,,,,
2564,4,Anything else,,,,,
2565,0,Biological mother only,,,,,
2566,1,Both biological parents,,,,,
2567,1,Both biological parents,,,,,
2568,1,Biological mother only,,,,,
2569,1,Both biological parents,,,,,
2570,6,Anything else,,,,,
2571,1,Both biological parents,,,,,
2572,3,Both biological parents,,,,,
2573,3,Anything else,,,,,
2575,1,Both biological parents,,,,,
2576,3,Both biological parents,,,,,
2577,1,Both biological parents,,,,,
2578,3,Both biological parents,,,,,
2579,3,Both biological parents,,,,,
2580,1,Both biological parents,,,,,
2581,1,Both biological parents,,,,,
2582,3,Biological mother only,,,,,
2584,1,Anything else,,,,,
2585,9,Anything else,,,,,
2586,4,Anything else,,,,,
2587,1,Both biological parents,,,,,
2588,0,Both biological parents,,,,,
2590,0,"Two parents, biological father",,,,,
2591,2,Anything else,,,,,
2592,1,Both biological parents,,,,,
2593,3,Anything else,,,,,
2594,1,"Two parents, biological mother",,,,,
2595,4,Anything else,,,,,
2596,3,Both biological parents,,,,,
2597,3,Anything else,,,,,
2598,0,Both biological parents,,,,,
2599,1,Both biological parents,,,,,
2600,3,Anything else,,,,,
2603,3,Both biological parents,,,,,
2604,3,Both biological parents,,,,,
2605,3,Biological father only,,,,,
2606,1,Both biological parents,,,,,
2607,1,Anything else,,,,,
2608,4,"Two parents, biological mother",,,,,
2609,1,Anything else,,,,,
2610,3,Anything else,,,,,
2611,1,Anything else,,,,,
2612,3,Both biological parents,,,,,
2613,2,Both biological parents,,,,,
2614,1,Both biological parents,,,,,
2615,3,Both biological parents,,,,,
2617,1,Both biological parents,,,,,
2618,1,Anything else,,,,,
2619,3,Both biological parents,,,,,
2620,1,Both biological parents,,,,,
2621,1,Anything else,,,,,
2622,1,Anything else,,,,,
2623,3,Anything else,,,,,
2624,1,Both biological parents,,,,,
2625,1,Anything else,,,,,
2626,1,Anything else,,,,,
2627,6,Anything else,,,,,
2628,4,Foster parent(s),,,,,
2629,0,Anything else,,,,,
2630,1,Both biological parents,,,,,
2631,1,"Two parents, biological mother",,,,,
2632,0,Both biological parents,,,,,
2633,4,Both biological parents,,,,,
2634,1,Both biological parents,,,,,
2635,0,Both biological parents,,,,,
2636,1,Both biological parents,,,,,
2637,3,Anything else,,,,,
2638,6,Anything else,,,,,
2639,7,Anything else,,,,,
2640,2,Both biological parents,,,,,
2641,2,Anything else,,,,,
2642,2,Biological mother only,,,,,
2643,5,Biological father only,,,,,
2645,0,Anything else,,,,,
2646,3,Biological mother only,,,,,
2647,8,Anything else,,,,,
2648,1,Both biological parents,,,,,
2649,3,Both biological parents,,,,,
2650,8,Biological mother only,,,,,
2651,7,Biological mother only,,,,,
2652,1,Both biological parents,,,,,
2653,1,Both biological parents,,,,,
2654,1,"Two parents, biological father",,,,,
2655,3,"Two parents, biological mother",,,,,
2656,1,Both biological parents,,,,,
2657,4,Both biological parents,,,,,
2658,1,Both biological parents,,,,,
2659,0,Both biological parents,,,,,
2660,2,Both biological parents,,,,,
2661,0,Both biological parents,,,,,
2662,3,Both biological parents,,,,,
2663,1,Both biological parents,,,,,
2664,0,Both biological parents,,,,,
2666,1,Both biological parents,,,,,
2667,3,Both biological parents,,,,,
2668,1,Biological father only,,,,,
2669,3,Biological mother only,,,,,
2670,1,Both biological parents,,,,,
2671,3,Both biological parents,,,,,
2672,1,Both biological parents,,,,,
2673,1,Anything else,,,,,
2674,6,Anything else,,,,,
2675,1,Both biological parents,,,,,
2676,4,Biological mother only,,,,,
2677,2,Biological mother only,,,,,
2678,1,Anything else,,,,,
2679,4,"Two parents, biological mother",,,,,
2680,3,Biological mother only,,,,,
2681,0,Both biological parents,,,,,
2682,4,Anything else,,,,,
2683,1,Both biological parents,,,,,
2684,5,Both biological parents,,,,,
2685,5,Biological father only,,,,,
2686,0,"Two parents, biological mother",,,,,
2687,3,Anything else,,,,,
2688,3,Both biological parents,,,,,
2689,7,Anything else,,,,,
2690,11,Anything else,,,,,
2691,3,Both biological parents,,,,,
2692,4,Biological mother only,,,,,
2693,3,Anything else,,,,,
2694,1,Both biological parents,,,,,
2695,2,Both biological parents,,,,,
2696,1,Both biological parents,,,,,
2697,1,"Two parents, biological mother",,,,,
2698,6,Anything else,,,,,
2699,5,Anything else,,,,,
2700,5,Anything else,,,,,
2701,0,Anything else,,,,,
2702,1,Both biological parents,,,,,
2703,2,Both biological parents,,,,,
2704,1,Both biological parents,,,,,
2705,0,Both biological parents,,,,,
2706,7,Biological mother only,,,,,
2707,3,Both biological parents,,,,,
2708,7,Biological mother only,,,,,
2709,0,"Two parents, biological mother",,,,,
2710,1,Biological mother only,,,,,
2711,2,Anything else,,,,,
2712,2,"Two parents, biological mother",,,,,
2713,3,Anything else,,,,,
2714,0,Biological mother only,,,,,
2715,2,Anything else,,,,,
2717,2,Anything else,,,,,
2718,0,Biological mother only,,,,,
2720,0,Adoptive parent(s),,,,,
2721,1,Both biological parents,,,,,
2722,1,Both biological parents,,,,,
2723,1,Anything else,,,,,
2724,1,Anything else,,,,,
2725,1,Both biological parents,,,,,
2726,1,Anything else,,,,,
2727,2,Biological mother only,,,,,
2728,1,Both biological parents,,,,,
2729,1,Both biological parents,,,,,
2730,3,"Two parents, biological father",,,,,
2731,1,Both biological parents,,,,,
2732,1,Both biological parents,,,,,
2733,5,Anything else,,,,,
2734,1,Anything else,,,,,
2735,0,Anything else,,,,,
2736,1,Anything else,,,,,
2737,1,Both biological parents,,,,,
2738,3,Anything else,,,,,
2739,3,Anything else,,,,,
2740,8,Anything else,,,,,
2741,4,Anything else,,,,,
2742,5,Biological father only,,,,,
2743,3,Anything else,,,,,
2744,1,"Two parents, biological mother",,,,,
2745,5,Anything else,,,,,
2746,5,Anything else,,,,,
2747,1,Anything else,,,,,
2748,1,Both biological parents,,,,,
2749,0,Both biological parents,,,,,
2750,1,Both biological parents,,,,,
2751,3,Biological father only,,,,,
2752,1,Both biological parents,,,,,
2753,3,Anything else,,,,,
2754,0,Biological father only,,,,,
2755,5,Both biological parents,,,,,
2756,1,Anything else,,,,,
