LCI,R3500900,E7013407,S1542000,E8013403,R1487700,R2602100,S3594800,T6216501,S0921200,R0070700
0,0.52082009,1.354122,1,34.8614,2,1.0778,0,3.281388,3,1
1,0.52082009,1.354122,4.8714,34.8614,0,1.0778,1.8549,3.281388,3.5490221,1
1,0.52082009,1,4.8714,0,0,1.0778,1.8549,3.281388,3.5490221,1
1,0,2,1,0,2,3,0,3.281388,4,1
0,0.52082009,0,1,0,0,0,0,2,4,1
0,0.52082009,1.354122,4.8714,34.8614,4,1.0778,1.8549,3.281388,3.5490221,1
0,0.52082009,1.354122,4.8714,34.8614,0,1.0778,1.8549,3.281388,3.5490221,1
0,0.52082009,1.354122,4.8714,34.8614,0,1.0778,1.8549,3.281388,3.5490221,1
1,1,1,1,99,6,3,0,2,1,1
1,1,2,1,0,1,2,0,1,3,1
0,0,0,4,0,1,1,2,2,4,2
0,0,1.354122,3,34.8614,0,2,0,3.281388,4,1
0,0,1.354122,3,34.8614,2,1,1.8549,3.281388,4,1
0,0,1.354122,4.8714,34.8614,0,1,1.8549,3.281388,3.5490221,1
1,0,1.354122,1,34.8614,0,0,1.8549,6,4,1
1,0,0,4.8714,0,1,1.0778,0,3,3.5490221,1
0,0.52082009,1.354122,1,34.8614,0,0,0,3.281388,3,1
1,0.52082009,1.354122,10,34.8614,2,3,0,3,4,1
0,0.52082009,1.354122,1,34.8614,0,1.0778,1.8549,3.281388,4,1
3,1,2,10,0,0,0,1,2,4,3
3,0.52082009,0,1,0,2,0,5,7,3,1
0,0.52082009,1.354122,10,34.8614,0,0,1.8549,3.281388,4,1
0,0.52082009,1.354122,4.8714,34.8614,1,0,1.8549,3.281388,3.5490221,1
0,0,1.354122,4.8714,34.8614,1,1.0778,1.8549,3.281388,3.5490221,2
6,1,1.354122,4.8714,34.8614,3,3,1.8549,1,3.5490221,2
3,1,2,10,0,1,3,1.8549,6,2,1
0,1,0,2,99,4,2,1.8549,5,3,5
1,0.52082009,1,2,0,5,2,5,3,4,1
0,0.52082009,0,1,0,0,0,0,1,4,2
3,0.52082009,1,1,0,0,1,0,1,3,1
2,1,0,4,99,1,1,1.8549,1,4,2
2,0,0,10,0,0,0,1.8549,1,4,3
2,0.52082009,0,4,99,2,1,1.8549,3,4,1
2,1,0,4,0,1,0,1,1,3,3
4,1,0,4.8714,99,3,0,9,5,3.5490221,3
2,1,0,4,0,4,2,2,3,4,1
0,0.52082009,1.354122,4.8714,34.8614,1,2,1.8549,3.281388,3.5490221,1
0,1,0,1,99,0,2,0,5,4,1
1,0,2,1,99,0,2,0,2,3,1
1,1,2,1,0,0,0,0,1,3,1
1,0.52082009,0,1,0,0,2,0,3,4,2
8,1,2,1,0,0,2,0,1,3,1
4,0.52082009,0,10,99,5,1,1,7,4,2
3,1,1,4,99,5,2,1,7,1,3
5,0.52082009,4,10,0,1,1.0778,4,5,4,2
0,0.52082009,0,10,99,4,1.0778,1.8549,7,4,3
3,1,4,1,99,4,3,1,5,4,1
1,0,2,1,0,0,1,0,5,4,1
1,0,2,1,0,1,3,0,2,4,1
0,0.52082009,0,5,0,0,0,0,3.281388,3,1
1,1,1.354122,4,34.8614,1,1,1.8549,7,4,2
9,0,0,1,99,0,2,0,1,4,1
2,0.52082009,0,1,0,0,1,0,1,3,1
1,0.52082009,2,1,0,0,0,0,1,4,1
0,0.52082009,1.354122,4.8714,34.8614,0,0,1.8549,3.281388,3.5490221,1
0,0.52082009,1.354122,4.8714,34.8614,0,1,1.8549,3.281388,3.5490221,1
0,0,1.354122,4.8714,34.8614,0,1,1.8549,3.281388,3.5490221,1
1,1,1.354122,1,34.8614,0,3,0,3.281388,4,1
1,0,2,1,0,0,0,0,1,4,1.52947075
1,1,2,1,0,0,2,0,1,4,1
1,0,2,4.8714,0,0,1.0778,1.8549,1,3.5490221,1
0,0,1.354122,4.8714,34.8614,0,0,1.8549,3.281388,3.5490221,1
1,0,2,4.8714,0,0,0,0,6,3.5490221,1
4,0,4,1,0,1,2,0,2,4,1
1,0.52082009,2,1,0,0,0,0,1,4,1
0,0,0,1,0,0,0,0,2,4,1
0,0.52082009,1.354122,1,34.8614,0,2,0,3.281388,4,1
3,1,1.354122,10,34.8614,8,0,1.8549,7,3,1
0,0,1.354122,1,34.8614,0,0,0,3.281388,4,1
3,1,2,10,0,0,2,3,7,4,1
2,1,0,4.8714,0,0,3,1,3.281388,3.5490221,1
0,0.52082009,1.354122,4,34.8614,0,0,1.8549,3.281388,4,1
3,1,1,4,99,3,1,1.8549,7,4,1
5,0,1.354122,6,99,3,3,3,7,4,2
6,0,0,4,0,0,0,1.8549,5,4,1
